route,source,visibility,robots,canonical,purpose,status,owner
/en/terms,app/en/terms/page.tsx,public,index follow,https://rcp.services/en/terms,English terms,legal review pending,Legal
/en/cookies,app/en/cookies/page.tsx,public,index follow,https://rcp.services/en/cookies,English cookie policy,legal review pending,Legal
/en/accessibility,app/en/accessibility/page.tsx,public,index follow,https://rcp.services/en/accessibility,English accessibility statement,implemented,Engineering
/portal,app/portal/page.tsx,controlled,noindex nofollow,,Portal boundary,placeholder pending product,Operations
/en/portal,app/en/portal/page.tsx,controlled,noindex nofollow,,English Portal boundary,placeholder pending product,Operations
/checkout,app/checkout/page.tsx,compatibility,noindex nofollow,,legacy reference review,implemented,Commercial
/en/request,app/en/request/page.tsx,compatibility,noindex nofollow,,English reference review,implemented,Commercial
/api/health,app/api/health/route.ts,operational,disallow,,availability probe,implemented,Engineering
/api/inquiries,app/api/inquiries/route.ts,server endpoint,disallow,,validated qualification request,implemented integrations optional,Engineering
/api/specialist-applications,app/api/specialist-applications/route.ts,server endpoint,disallow,,validated specialist application,implemented with explicit CRM confirmation,Engineering
/catalog-index.json,app/catalog-index.json/route.ts,public,indexable asset,,search and agent index,implemented,Content
/llms.txt,app/llms.txt/route.ts,public,indexable asset,,AEO boundary summary,implemented,Content
/sitemap.xml,app/sitemap.ts,public,indexable asset,,public route discovery,implemented,Engineering
/robots.txt,app/robots.ts,public,indexable asset,,crawler policy,implemented,Engineering
/manifest.webmanifest,app/manifest.ts,public,indexable asset,,web manifest,implemented,Engineering
